Unnamed: 0,text,labels
1156,saa mbaya zaidi na nusu ya maisha yangu,negative
1157,ilinibidi kuondoka kwenye chumba hicho kwa dakika chache ili kupata kitulizo,negative
1158,ninachukia filamu kama hizo,negative
1159,ndiyo sinema hiyo ilipendwa sana,negative
1160,hakuna njama wala hadithi,negative
1161,ukienda kutazama filamu hii utaona mto au rafiki mpenzi wa kike akikufanya ujiingize katika hali hiyo,negative
1162,kibaya kabisa,negative
1163,sidhani kama nilikuwa nikienda kwenye sinema na kuichukia sana,negative
1164,lilikuwa jambo zuri kwamba tikiti hizo ziligharimu dola tano tu kwa sababu ningekasirika ikiwa id angelipa ili kuona mtego huu,negative
1165,hakuna mtu atambulishaye herufi hizi kwa sababu hizo hupasua alama zote za kadibodi na dhana zinazoshikiliwa na wengi au kwa hakika hurudisha nuru tena,negative
1166,hii ni filamu mbaya yenye maandishi mabaya na katuni zenye sura mbaya zilizochorwa na paul haggis kwa ajili ya watu ambao hawawezi kutumia chochote ila ile michoro ya ujasiri ya hadithi za kusimulia hadithi iliyochorwa kwa michoro ya rangi,negative
1167,ajali ni jambo dogo lenye kushusha moyo ambalo huchochea hisia moyo lakini halikufundishi kitu ikiwa tayari unajua ubaguzi wa rangi na ubaguzi ni mambo mabaya,negative
1168,bado nafanya kama filamu hii kwa ajili ya kuimarisha wanawake huko hakuna filamu za kutosha hapa kama hii,positive
1169,ubongo wako utajaribu kulegea ukiwa sehemu ya msukumo wa akili wa kujipumua,negative
1170,niliachwa nikiwa nimevunjwa moyo kutokana na ono la kutazama filamu hii na mimi nikachukua muda wa saa mbili ili kupona kabisa,negative
1171,sinema hiyo sasa inaunga mkono kulipiza kisasi kwa boogeyman na zombiez kama sehemu ya utatu wa kuogofya wa filamu,negative
1172,bila shaka hilo halimaanishi kwamba mtu huyo ni tofauti kwa njia nzuri,negative
1173,hii inamaanisha kwa njia mbaya sana,negative
1174,filamu hii haina michoro ya ukombozi,negative
1175,kila kitu ni chenye kufadhaisha,negative
1176,picha zisizo na madoido zinatuonyesha mandhari yenye kupendeza zaidi ya uombwe,negative
1177,hadithi hiyo haiwezi kuwa ya kipumbavu,negative
1178,maandishi yako hapo awali,negative
1179,watoto wanaudhika,negative
1180,mwenye kuongoza hana hatia,negative
1181,kwa vyovyote vile bila ustahili katika kiwango chochote huu wafanana na mateso,negative
1182,walio wagonjwa hata husema tena kwamba huo ni utesaji,negative
1183,labda kungekuwa na elezo lenye kupatana na akili juu ya jambo hili la ujasiri,negative
1184,si safari yenye kupendeza ya kujitambua,negative
1185,la hali ya juu halina simu,negative
1186,ikiwa kauli hii yasikika kuwa ya kipumbavu kwa sababu ni ya kipumbavu,negative
1187,ndiyo ni mbaya hivyo,negative
1188,hakuna lolote la kupendekeza,negative
1189,tukio zuri kabisa kutoka kwa makunjo,positive
1190,vando aliyemwonyesha popo kwamba vipawa vyake vingeweza kubeba kutoka enzi ya kimya kimya na alitaka kuona baadhi ya kazi yake ya kimya lakini nelix haionekani kuwa inaziweka akiba,positive
1191,ipendezayo pia kuona kwamba mwandishi maarufu wa habari za televisheni za kimya kimya sranks marion hajapata hatua ya kutoka kimya hadi sauti,positive
1192,sinema hii iliteseka kwa sababu ya maandishi iliyoiandika kuhitaji wasiwasi zaidi,negative
1193,kulikuwa na misuguano mingi mno,negative
1194,ila tu kwamba sinema hiyo ilionekana kuwa yenye kuvuta watu wengi zaidi na mashujaa hao hawakufanyia kazi kwa ajili ya uhuru wao,negative
1195,lakini sinema hii kwa hakika ni chini ya kodi ya wastani,negative
1196,mwanasesere akiipenda,positive
1197,sinema hii ni mbaya,negative
1198,mbaya sana,negative
1199,sinema hiyo ni ndefu mno,negative
1200,hakika huyu ni katika walio dhulumu,negative
1201,filamu ipokewayo ilikuwa filamu bora sana kwa umri wake,positive
1202,jihn royne alifanya kazi nzuri sana ya kuwa kijana sana katika biashara ya sinema,positive
1203,kuwapo kwake kwenye kiwambo kulikuwa kumeng aa hata ingawa kulikuwa na waigizaji wengine wakuu kwenye kiwambo pamoja naye,positive
1204,nadhani ni lazima ione filamu ya ki yohn ya kale sana,positive
1205,kwa kweli sioni jinsi mtu yeyote angeweza kufurahia sinema hii,negative
1206,sidhani nimewahi kuona sinema yenye kuchosha kama sehemu hii ya nguo isiyo na lishe,negative
1207,labda ingekuwa bora zaidi kama mkurugenzi angetumia sehemu kubwa ya maonyesho ya sinema akiigiza kazi yake mwenyewe ya sanaa ambayo kwa kweli ni yenye kutokeza,negative
1208,jambo jingine ambalo sikupenda ni wakati mtu fulani alipopigana ngumi usoni lita moja ya damu ingemwagika mara tu baada ya,negative
1209,njuzi ya kibahozi kabisa ni miwani ya taa,positive
1210,utendaji wake ni kazi ya akili tu,positive
1211,anamiliki filamu hiyo kama vile tu chombo cha kutengenezea makaa ya mawe kilivyomiliki binti ya wachimba makaa ya mawe na kwatodi kilikuwa na mipira mikubwa ya moto,positive
1212,kwa kweli ni vigumu kukumbuka kwamba miale ya taa inatenda na haikuchezwa na mtu huyo mwenyewe,positive
1213,supu za taa zajulikana sana,positive
1214,maisha ya miali ya jua yaliandaa picha nzuri sana kwa ajili ya sinema ambayo haihusishi tu sinema nyingine kuhusu mwanamuziki,positive
1215,bogick ni mkurugenzi mkuu,positive
1216,kwa kushangaza mara nyingi mimi huona sinema zake kuwa ni kupoteza wakati kabisa kutazama,negative
1217,sehemu ya pili ya spidrocock iliboresha sana msisimuaji na kukimbiza sinema,positive
1218,ambayo huridhisha wasikilizaji ambao huharibu nyingi za filamu zake,negative
1219,kwa sababu hiyo simulizi zima halina nishati,negative
1220,njama hiyo inanguruma kama mashine ikitegemea kwa makini mandhari mpya,negative
1221,kuna kasoro za kawaida za kiakili,negative
1222,shamima inaudhi sana,negative
1223,hii ni sinema isiyovutia kuhusu mwandishi anayeishi katika utamaduni wenye baridi kali,negative
1224,yale mambo ya kuigiza yaliyo wazi hukukazia uangalifu wako kwa sababu yanapotea kihisia moyo na yameruka ruka,negative
1225,na sehemu nyingine ya nyumba hiyo inazungukwa na wanajeshi wakiimba nyimbo kuhusu ukiume ambao wanajiapa kurahisisha usafi wa panga n k,negative
1226,anaweza kukudunga vipande vipande na kuua mwendo wa sinema haraka kuliko mtu mwingine yeyote,negative
1227,schrader ametengeneza filamu nyingi zisizo na ujuzi,negative
1228,nilipoitazama filamu hii kwa mara ya kwanza katika miaka ya niliipenda sana,positive
1229,nilivutiwa sana na muziki wote uliokuwa ukicheza dansi,positive
1230,hata hivyo hivi karibuni niliangalia tena kitu chote cha dvdos na mimi nilivutiwa sana na jinsi mchezo huo ulivyokuwa mpumbavu kupita kiasi na jinsi ulivyokuwa na mashimo mengi yasiyopatana na waziwazi na jinsi dansi hiyo ilivyokuwa ikipamba moto,negative
1231,hii inamaanisha katika ulimwengu halisi kwamba hangeingia kamwe katika ile dansi ya bale ambayo kwa ujumla ilikuwa ya kusikitisha sana,negative
1232,tabia zake pia hazikuwa na kina kirefu,negative
1233,woa anazungumzia mambo mabaya sana,negative
1234,wala msifanye ulegevu kuwafukuzia kaumu ya maadui,negative
1235,ilikuwa mbaya sana,negative
1236,majadiliano mabaya zaidi ni kwamba tu ungeweza kuendelea kwa muda mrefu,negative
1237,lakini kwa kweli kile kilichoifanya isitambuliwe kilikuwa ni mwongozo,negative
1238,waigizaji maskini,negative
1239,hata huwezi kujua kama wana kipawa chochote kwa sababu hawana maneno yenye kusikitisha tu bali pia mkurugenzi hakuwaonyesha hatua yoyote,negative
1240,ukichunguza picha za wakurugenzi katika tovuti hii utaona ni kwa nini filamu hii haikujitokeza,negative
1241,hilo hata halingekuwa jambo zuri kama vile kuchezewa kwa muda mfupi tu,negative
1242,ikiwa nia nzuri ingefanyiza filamu nzuri basi sinema hii yaweza kuwa moja ya sinema kubwa zaidi iliyopata kutengenezwa,positive
1243,filamu hiyo ina waigizaji wakuu ambao mwelekezi stadi ni mtu mwenye sauti ya chini sana aliye na picha za hewani ambazo zilipaswa kusisimua hisi na uwezo wa kufikiri na watu ambao huenda mtu akajali sana,positive
1244,haijalishi filamu hiyo inashindwa,negative
1245,sinema hiyo haina maonyesho ya kuonyesha hisia na sherehe ya uzalendo unaokazia usimulizi,negative
1246,hakuna mwigizaji ambaye ametumiwa vibaya zaidi na mamba aina ya june katika sinema hii,negative
1247,na bado ninafurahia kuitazama,positive
1248,kwa kusikitisha hii ni sinema mbaya iliyo wazi,negative
1249,maandishi mabaya na matendo mabaya hufanya maandishi hayo yaonekane kuwa mabaya,negative
1250,mazungumzo yakapungua,negative
1251,ile sinemakographyif inaweza kuitwa ile inayochekwa,negative
1252,chombo cha sauti kilifyonza sauti,negative
1253,yule anayetenda kwa ustadi,negative
1254,mifuatano ya maonyesho ya muziki ilikuwa imefyonzwa tu,negative
1255,kilikuwa chema,positive
1256,lililokuwa jambo la kuchekesha,positive
1257,lilikuwa jambo la kuchekesha sana,positive
1258,kwa ujumla sinema hii ilikuwa takataka ya bei ya chini,negative
1259,lakini sinema hii si ya kuchekesha kwa kufikiria upumbavu wake,negative
1260,nilitoka ndani yake nikihisi hasira,negative
1261,huharibu chochote kile kiwezacho au kisichoweza kusemwa juu yacho kimebuniwa kwa ustadi wa hali ya juu sana,positive
1262,sinema hiyo inastaajabisha kwa kusema kwa ufupi na si kitu ikiwa si mooftheart,positive
1263,kwa uhalisi kipindi hiki chatoa kiasi kidogo cha kila kitu na kwa karibu kila mtu ambaye wazazi wake wote ni wa kuwaziwa tu na mashabiki wa sks,positive
1264,na kulitokea hata neno moja kali lililopigwa na kali likitenda kwa hekima ama chombo imara cha kushangaza hapa,positive
1265,mambo yote yaliyoonwa kuwa kazi iliyofanywa vizuri sana,positive
1266,asanteni sana kwa filamu kama hii kufanywa na kuachiliwa huru,positive
1267,moja ya sinema bora zaidi za ki myxican na moja ya sinema ambazo hazikupata kueleweka sana hata iwe ni zile ambazo zimetambuliwaje nazo,positive
1268,linafikia kiwango cha juu kama maonyesho makubwa ya uhalifu ya nordrama kwa belmondo na lino capeura,positive
1269,sifa inayotolewa kwa kila mhusika na maelezo tata ya kisaikolojia yanayofafanua uaminifu mshikamanifu kwa mapenzi na tumaini ni mambo makubwa sana,positive
1270,ni drama nzuri sana yenye kusisimua na sinema bora kabisa,positive
1271,nikiwa huko pamoja na melville iliyo bora zaidi,positive
1272,kila kitu kuhusu filamu hii kinastaajabisha,positive
1273,na nyinyi mkazama katika maovu kama wao walivyo zama,positive
1274,maji meusi ni kisisimuaji ambacho huweza kushinda kabisa mipaka yake ya kuchezesha chezesha chezesha chezewa kwa kupindua matazamio ya kutokea kama ono lenye nguvu,positive
1275,tamasha hizi ni halisi na zinashika fuvu hilo vizuri sana iwapo tovuti ya maji meusi itaaminika kwamba kwa sababu walitumia masanduku halisi na bwawa ni maridadi sana,positive
1276,nilifurahia sana wakati kristopher ekccleston alipodhibiti tardis na mwendelezo wa mfululizo huo,positive
1277,asijue alikuwa akijaribu kufanya nini na filamu hii,negative
1278,kama ingebadili siku yangu nzuri iwe usiku wenye kumbukumbu zenye kusumbua kuliko nadhani alifaulu,negative
1279,kuna sehemu nyingi zenye kupendeza,positive
1280,ililazimishwa kama kila kitu katika sinema hii,negative
1281,tena akiwa kilema,negative
1282,hapa ambapo filamu hiyo ilinigusa moyo sana,negative
1283,na hata usinifanye nianze kupiga picha haraka haraka,negative
1284,na alipo liona katika jumba la sinema dididi kuwa ni mgonjwa,negative
1285,pitia muhtasari akili za watu wasio na akili,negative
1286,mpango mzuri niliosema uid ulimruhusu huyo aende,negative
1287,kitendo chake kilikuwa kibaya,negative
1288,kweli ni vibaya,negative
1289,hata mnyoo wa bipani ukiinuka juu ya maandishi yaliyokuwa mabaya zaidi,negative
1290,kamera ni mbaya tena,negative
1291,kiwango cha kati ya,negative
1292,mwisho wenye kustaajabisha wa mambo matatu bora zaidi ya wakati wote,positive
1293,kieslowki haachi kamwe kunistaajabisha,positive
1294,yeye ni mmoja wa wakurugenzi wangu mashuhuri na ni mmojawapo wa wakurugenzi stadi zaidi katika historia ya sinema,positive
1295,matumizi yake ya rangi za bendera iliyoganda katika filamu hizo tatu yalikuwa ya ajabu sana kila picha iliyokuwa kama sanaa,positive
1296,filamu tatu zenye kuvutia sana kuliko zote,positive
1297,na uhusiano wake wenye hila kati ya filamu hizo tatu ni wenye kutisha,positive
1298,ni lazima nisimulie jambo hili na ni mnyang anyi mkubwa ambaye alipenda kumaliza namna wahusika wote wa filamu hizo tatu walivyokuwa waokokaji waliobaki wa msiba wa feri pamoja na kijana hakimu pamoja na mzee aliyeuangalia kwa umri wake akiimarisha furaha yake juu ya mateso aliyokabiliana nayo kwa miaka hiyo mingi,positive
1299,int inafikiria njia bora zaidi ya kuimaliza filamu hiyo lakini tabasamu usoni mwangu ni njia nzuri sana ya kufunga filamu ya ajabu na mambo mengine ya ziada,positive
1300,napendekeza hili kwa kila mtu anayependa filamu afanyie kazi yoyote ya sanaa,positive
1301,kati ya kwa ajili ya sinema na mambo mengine,positive
1302,i alitapika kihalisi alipokuwa akitazama filamu hii,negative
1303,nadhani ni mmoja wa watu walioona hii lulu za ving arishaji,positive
1304,alicheza mchezo wa kuigiza uliovutia,positive
1305,hadithi iliyosimuliwa kwa ufasaha sana na farani kwa ajili ya polisi miaka mapema kwa kweli inafunuka hatua kwa hatua na kuacha nafasi kwa wahusika kusitawi,positive
1306,katika mahali pazuri zaidi pana hadithi ya tofauti,positive
1307,zote zikiwa na filamu maridadi kutoka nicolas roglag bora,positive
1308,ninazitafsiri filamu kwa ajili ya maisha na hii ndiyo filamu ya kwanza katika uzoefu wangu wa miaka mitano ya kazi ambayo niliiona kuwa yenye kuchukiza kwa akili yangu,negative
1309,lakini mtu anapojitahidi kwa ajili ya umashuhuri na ushairi lakini anapotoa hadithi iliyopotoshwa na ambayo mara nyingi huwa ni hadithi ya kijinga na yenye mambo yasiyo na maana basi unapata aina mbaya zaidi ya sinema ambayo mpitiaji mwingine anaifafanua kwa usahihi sana kuwa ni kivutio cha kisasa,negative
1310,kwa wale ambao huona sinema hii kuwa yenye akili au hata yenye ustadi ni kwamba tu waweza kusema akili na uwezo wako wa kufikiri ambao kwa wazi uliutumia kujaribu na kuelewa jaribio hili lenye kusikitisha la mwanadamu kujaribu na kuelewa mambo,negative
1311,jambo moja zaidi ninaloweza kuvumilia kutokukamilika kisiasa ni jambo zuri sana kwa uhuru wa kisanii na kusimamishwa kwa kutoamini lakini tabia ya kike ya kitumwa ilikuwa kubwa sana,negative
1312,hii ni sinema yenye kufurahisha na yenye kuchekesha sana,positive
1313,mwenye kuvutia sana kwa kila pembe,positive
1314,lina unamna namna wa ajabu wa kokwa za kisaikolojia zenye kukumbukwa lakini zenye kupendeza,positive
1315,kwa furaha yetu twawaona wakicheza michezo na kuwa hatari,positive
1316,hata ina pindi zenye kupendeza,positive
1317,mwanamume aliyekuwa akirekebisha simu kwa kweli alichekesha na maitikio yake kwa kokwa na mkubwa wake wa kazi yalikuwa ya kweli,positive
1318,wahusika wote katika filamu hii hupigwa vizuri sana,positive
1319,na kwa kweli niliwaona kuwa wenye kuchekesha,positive
1320,kwa kweli hii ni sinema ya werevu sana,positive
1321,huu ndio ufikisho,positive
1322,naipenda,positive
1323,mwisho ni wa hali ya juu sana hivi kwamba utatoa machozi kamili,positive
1324,nimesisimuka sana baada ya kuona sinema kama hii,positive
1325,sitasahau kamwe jambo hilo sasa,positive
1326,si kidhehebu tu kilicho maarufu,positive
1327,mwenye kutua akatulia,negative
1328,hali za malta ni kavu na za ukame kama mazungumzo,negative
1329,sinema hii ni mbaya sana,negative
1330,picha za mpira wa magongo zinawatisha walindaji wanaocheza kama tree wenye umri wa miaka wakipiga mbizi kwa kutumia risasi zilizo na upana wa futi wa neti n k,negative
1331,kwa walio yaona yamekupotea bure,negative
1332,kusema sinema hii ni ya kipuuzi,negative
1333,akaanza kutazama hili lakini hakuamini katika yeyote wa wahusika hao,negative
1334,hasa uhusiano kati ya msaidizi wa duka la kuokea mikate na mhudumu wa hoteli haukunisaidia hata kidogo,negative
1335,ilikuwa filamu ya kijuujuu tu na ilinifanya nihisi kwamba ninatazama mchezo badala ya filamu,negative
1336,wahusika walikuwa na jukwaa kubwa na hadithi ilikuwa kama jukwaa,negative
1337,kufikia wakati ambapo njia hiyo ya pyromianiac ilimfunika msaidizi wa i alikuwa amechoka na hakujali kilichofuata na kwa hiyo nikaondoka,negative
1338,nafurahi inope kuiona,negative
1339,sikucheka wala hata kutabasamu wakati mmoja,negative
1340,lakini si kitu kingine ila mwayo mmoja tu,negative
1341,kwa kweli ni wonyesho mzuri sana wa kutazama,positive
1342,ni elimu sana kwa watoto wenye umri wa kati ya miaka hadi,positive
1343,bila shaka kipande cha asali ni chenye umbo la pia,positive
1344,ni jambo la kuchekesha,positive
1345,babie bop anavutia sana,positive
1346,watoto pia ni wenye ubaridi,positive
1347,lakini askari jeshi wa dhoruba si mbaya vya kutosha kuweza kufanya sinema mbaya ajabu,negative
1348,na shari ya wasiwasi wake,negative
1349,mtu aliyesema kuwa hes alikuwa na mazungumzo mazuri zaidi na mimea yake yenye madoa ana haki ya kufanya hivyo,negative
1350,kila kitu kuhusu sinema hii ni cha kipumbavu,negative
1351,hata ikiwa unapenda sinema mbaya usiitazame sinema hiyo,negative
1352,hakika huo ni uchafu,negative
1353,ningeupa mfululizo huu wa televisheni mfululizo wa kuongezea kama ningeweza,positive
1354,waandishi walikuwa wakipigwa na na ninafikiri waigizaji na waigizaji bora zaidi walikuwa ni nyongeza kwa wahusika hawa wa kipindi hicho walikuwa halisi sana,positive
1355,ni lazima niseme kwamba nimepitia visa vingi na ninajikuta nikivitazama tena na tena,positive
1356,sasa unajua ni kwa nini niliitoa,positive
1357,sijui kabisa ni nini hasa kuhusu sinema hii lakini tuliishikilia sana sinema hii yenye kuvutia na imekuwa sehemu ya pekee ya kumbukumbu za familia zetu,positive
1358,ni kweli kabisa kwamba ninapendekeza sinema hiyo kwa mtu yeyote anayependa sinema nzuri za familia zenye kujenga kwa sababu hivyo ndivyo ilivyo hasa,positive
1359,mambo ambayo watoto hao wanne hujikuta ni yenye kuvutia sana kutazama,positive
1360,hii ni moja ya sinema bora zaidi zinazoonyesha uhusiano wenye nguvu kati ya ndugu na dada zako,positive
1361,hatua nyingine zenye kupendeza zaidi zinaleta wasiwasi zaidi na kupunguza ubishi usiohitajika,positive
1362,kila kitu kuanzia kufanya kazi hadi sinema ya kompyuta kilikuwa thabiti,positive
1363,hakuna haja ya kuchunguza tatizo hilo,positive
1364,mboga ni mwenye kipawa na mwenye matumizi mengi sana katika njia nyingi sana za kuandika na kuonyesha herufi tofauti tofauti kwenye kiwambo,positive
1365,sinema hii ina madhara yake,positive
1366,ninafurahi sana kujua mtu mwenye akili wa siku ya kisasa hivyo ni kana kwamba anasahau tamaa ya sanaa ikimsukuma na kutuchukua kama wasikilizaji pamoja naye,positive
1367,wahusika wapya walisahau jambo hilo na nilijikuta nikimsahau nani,negative
1368,nilihisi kana kwamba kwenda kwake katika nchi kavu hakukuwa na faida yoyote,negative
1369,haikunifanya niwe na hofu au kunifanya niwahurumie watu waliokuwa wakiniudhi,negative
1370,misogeo ya kamera yenye kutisha ilikuwa pia ikiudhi,negative
1371,njama hiyo ilikuwa sawa na hofu ya kila mmoja wao iliyokuwa ya gharama ya chini,negative
1372,kulikuwa na majaribio machache yenye kusikitisha ya kufanya wahusika wawe na kina lakini hayakufaulu katika sehemu nyingine za njama hiyo,negative
1373,nadhani ilipaswa kuwa mpindo wa werevu kisha ikaangaza nuru fulani juu ya hali hiyo lakini ilikuwa tu ya kipumbavu,negative
1374,ukiiona labda unapaswa kuiacha tu kwenye rafu,negative
1375,elias koteasjack palations hucheza vizuri na malaikana ni mwenye joto na yeye huchoka kabisa anapoonekana katika jambo hili na ni mwenye ubaridi kama ilivyo kawaida kwa mchezo wa kele horeni husaidia kufanya sinema hii iwe yenye kufurahisha sana kwa kutenda vizuri na kwa kiasi fulani cha fedha,positive
1376,hii ilikuwa filamu yenye kutisha sana hivi kwamba niliinunua kwa kutumia ebay,positive
1377,nilipenda sana mstari wa hadithi na dubu wa spor alikuwa mwenye kuvutia lakini kama kuna yeyote aliye na swali kuhusu umayamaya wa chuma tu anauliza mbali,positive
1378,filamu hii isiyofurahisha kabisa ni ya kiwango cha juu na isiyo halisi hivi kwamba katika muda wote wa dakika za kuteswa kabisa labda nilitazama saa yangu karibu mara,negative
1379,kengele ya kifua ni ya juu sana kuliko kifaa hiki na inamshusha moyo sana,negative
1380,sinema hii yote inakufanya uwe mgonjwa unapowatazama wazembe hao wote wakitoa udhuru kwa matendo yao ya kipumbavu kwa dakika,negative
1381,mungu na i huwezi kamwe kupata tena dakika,negative
1382,nadhani sehemu zenye kustaajabisha zaidi ni madondoo ya vitabu vyake,positive
1383,seti zilizobuniwa hasa ili kufanya kazi na kamera ni maridadi ajabu na zenye matokeo,positive
1384,ingeweza kutumiwa kama mifano kwa mbuni yeyote aliyeweka rasmi,positive
1385,hadithi zilikuwa uvumbuzi wenye nguvu wa asili ya mwanadamu na sanaa,positive
1386,baada ya kutazama filamu hii nataka kujifunza zaidi kuhusu kazi za msanii huyu,positive
1387,napendekeza sana filamu hii kwa ajili ya mtu yeyote anayependezwa na mashairi ya sanaa ya maonyesho ya siasa au historia ya papanese,positive
1388,hapa katika upepo na simba twaona fasiri nzuri ajabu ya enzi ya kifalme,positive
1389,kinachofanya hadithi hii iwe tofauti ni ile thamani kubwa sana ya upigaji picha usio na kosa na kuhariri ule mzuri sana unaorusha ridan keith anayecheza historia yenye ukatili na iliyo dhahiri,positive
1390,ingawa upepo na simba wanaelezwa hasa kupitia macho ya mwana huyo kila mshiriki wa familia anaweza kutambua kama ni ndege wa baharini aina ya bnerys wa hali ya juu aina ya brigan bedace bergens firene jahn hustons au steve kanalys pallylys mhovelypny frive ploveroverovet mkubwa wa kijiti,positive
1391,hilo ni jambo la kusisimua sana,positive
1392,nadhani ni filamu ya robint ryans iliyo bora zaidi kwa sababu alichora mtu kama baba yangu na alikuwa baba halisi ingawa hakuua mtu yeyote bali aliathirika zaidi wakati wa vita ya ulimwengu ya pili iliyomfanya awe mbaya zaidi,positive
1393,haikuwa rahisi kumchangamsha ili apitie tu siku hiyo kwa siku hiyo,positive
1394,mama yangu na ndugu yangu walilazimika kufanya hivyo wakati ilipoona robirt ryan akionyesha mtu wa aina hiyo ilikuwa mwigizo mzuri sana wa mtu wa aina hii na mimi alivutiwa,positive
1395,karibu nyimbo zote zilizo katika msichana wa jalada ni za kizamani na si zenye kupendeza sana,negative
1396,jambo lenye kuudhi zaidi juu ya msichana wa kufunika ni njia ambayo riita nyasi kavuworth hutukuzwa,negative
1397,kwa bahati mbaya msichana ni mfano wa jinsi holilywood ilivyotumiwa kuwatumia wanawake kujifaidi kifedha,negative
1398,hivyo masimulizi mengi yasiyo sahihi hukumbukwa na kila sehemu huandikwa vizuri sana,positive
1399,ile sinema nzuri pia humrembesha sana na kumfanya awe na sura nzuri ya monica,positive
1400,maelezo mazuri juu ya leo ya upendo na bila shaka sinema inayostahili kuonwa,positive
1401,kwa watu ambao ni wa kwanza kutengeneza filamu nafikiri walifanya kazi nzuri sana,positive
1402,ilipendwa sana nilipokuwa katika sinema nyumba nzuri na maitikio mazuri sana na vicheko vingi,positive
1403,filamu yake maridadi na namna nilivyohisi nilipotoka nje ya sinema,positive
1404,mlima huu una kelele za kaskazini na una mtazamo mzuri kuhusu jamii inayowakilisha,positive
1405,i badala ya hivyo niliifurahia,positive
1406,niliipenda,positive
1407,ninawachukulia kwa uzito,negative
1408,hata hivyo hilo lilitokeza hisia ya pekee,positive
1409,kutengeneza vitu vya kale kwa mkono kulikuwa kazi nzuri sana kwa kutumia maandishi hayo,positive
1410,ulimwengu ulio bora zaidi ya ya takataka zilizo katika maduka ya dawa leo,positive
1411,jukumu lake lilitimizwa vizuri,positive
1412,si kwa kupiga kelele pia si kwa kiume bali ni sawa tu,positive
1413,kamera kwa kweli humpenda katika sinema hii,positive
1414,laiti angalimtupa katika daraka hilo baada ya kuutayarisha mwandiko,positive
1415,nikiwa raia wa european filamu hiyo ni kikwazo kizuri kwa wakati wangu nikiwa mwanafunzi katika miaka ya na mambo yaliyoonwa niliyokuwa nikiishi ng ambo na kuchangamana na mataifa mengine ingawa hali zilikuwa tofauti kidogo,positive
1416,mimi ni shabiki wa filamu yake iliyovutwa vibaya sana,negative
1417,iliyo mbaya hata zaidi kuliko kupe,negative
1418,sinema hiyo ilikuwa mbaya,negative
1419,sawa na majengo au tu yalitumia sehemu kadhaa labda mbomh duni,negative
1420,haukuacha chochote ulicho kifikia ila ulikifanya kama kilio nyambuka,negative
1421,filamu hii ni nzuri sana na mpunjaji ni virukato vidogo sana wakati anapoogopa na sehemu zenye raha zaidi zinashikwa chini ya pazia na wakati malaika na mlaghai wanapoimba judi lakini kabla ya hapo hakuna yeyote aliyependekeza kikamili kwamba sinema hizo zitoke kwenye chapa ya pekee kwenye june jalada lina ulaghai kwenye takataka na malaika chini ya kifuniko cha kifuniko cha june,positive
1422,si rahisi kuelezea filamu hii zaidi ya mandhari za michezo ya kimahaba za mchezo wa kuigiza na mandhari za nje za duka la dawa za kulevya ni za kuchekesha mbwa watumia nguo wana kitu fulani cha pekee cha kuchekesha cha kuchekecha watakipenda kukinunua kitokeapo huwa na sura mpya,positive
1423,sasa tulichaguliwa kuteswa kwa propaganda hii yenye kuchukiza ya american,negative
1424,kipindi hiki kinafanywa kwa ajili ya wamerica ambao ni wajinga sana na umejaa chuki na vichli vya kuweza kukubaliwa kwingineko,negative
1425,karibu kila mtu anayehusika anapaswa kurudi shuleni ni jambo linaloweza kutabirika kabisa na ni rundo la takataka kuzunguka,negative
1426,laiti ningeingia katika viwango hasi vya maadili,negative
1427,jozi hizo ni mbaya sana hivi kwamba haziwezi kuonekana mahali popote katika kisa cha ndege wa radi,negative
1428,matumizi ya hali ya polepole ya kihisia moyo hujirudia rudia kotekote katika sinema hiyo lakini yametegemezwa vizuri na matendo mabaya na mabaya ni neno la fadhili hapa ambalo halina mandhari ya kuendelea ambayo hutupwa bila sababu yoyote magari yoyote yaliyoonekana kana kwamba yalitengenezwa kutokana na kisanduku cha mahindi na mtindo wa uelekezi uliopakana na ujinga,negative
1429,oh yeah na picha hiyo ilikuwa ya kusikitisha pia,negative
1430,ninachukia kuandika mambo mabaya kuhusu filamu hasa zile ambazo ninazipenda sana lakini filamu hii ni mbaya sana hivi kwamba hakuna yeyote angeweza kuionea fahari,negative
1431,mimi si mtengeneza filamu wala mimi si mkurugenzi lakini ningeficha kichwa changu mchangani kama ningetumia kiasi chochote cha fedha na wakati kwenye sinema hii,negative
1432,kwa ufupi hii ilikuwa ni kupoteza wakati na nishati nyingi na singependekeza yeyote aone filamu hii,negative
1433,lilikuja likiwa huru na mchezaji wa mchezo wa gel i kununua lakini bado nilirudisha kitu hicho katikati kwa sababu niliaibika kwa jinsi ya kuezeka,negative
1434,na ni kwa sababu tu hakuna kikao cha,negative
1435,wazo lenye kupendeza na lisilo la kawaida ni kama mfuko hatari wa kokwa ambao nyakati zote ni kama taarifa ya mapenzi ya kumuona hengo mchattie na fumo hendrikson huku akizungumza kwa sauti kubwa juu ya shavu la kichwa,positive
1436,inayo gonga pia,positive
1437,lakini kitendo cha wataalamu kama vile heromo na debbie rochokon kilikuwa kibaya sana kukielekeza kwa yule aliyekuwa mpiga mbizi na kazi ya kamera haikuwa rahisi kuvumilika,negative
1438,na bado ni seti zilizofikia kwa kiwango changu cha sauti,positive
