Unnamed: 0,text,labels,tokens,corrected_tokens
906,Lakini licha ya dosari chache hizi kesi hii ni ya ubora wa kipekee na yastahili gharama za ziada za kumiliki bidhaa rasmi ya oem,positive,"['lakini', 'licha', 'ya', 'dosari', 'chache', 'hizi', 'kesi', 'hii', 'ni', 'ya', 'ubora', 'wa', 'kipekee', 'na', 'yastahili', 'gharama', 'za', 'ziada', 'za', 'kumiliki', 'bidhaa', 'rasmi', 'ya', 'oem']","['lakini', 'licha', 'ya', 'dosari', 'chache', 'hizi', 'kesi', 'hii', 'ni', 'ya', 'ubora', 'wa', 'kipekee', 'na', 'yastahili', 'gharama', 'za', 'ziada', 'za', 'kumiliki', 'bidhaa', 'rasmi', 'ya', 'oem']"
907,Upumbavu ni nini?,negative,"['upumbavu', 'ni', 'nini']","['upumbavu', 'ni', 'nini']"
908,Naweza kusikia ninapoendesha gari na mara nyingi si lazima niweke garini mwako kwa sauti kubwa zaidi,positive,"['naweza', 'kusikia', 'ninapoendesha', 'gari', 'na', 'mara', 'nyingi', 'si', 'lazima', 'niweke', 'garini', 'mwako', 'kwa', 'sauti', 'kubwa', 'zaidi']","['naweza', 'kusikia', 'ninapoendesha', 'gari', 'na', 'mara', 'nyingi', 'si', 'lazima', 'niweke', 'garini', 'mwako', 'kwa', 'sauti', 'kubwa', 'zaidi']"
909,Wauzaji wa vitabu walisafirishwa haraka na kwa bei ya chini zaidi kuliko washindani,positive,"['wauzaji', 'wa', 'vitabu', 'walisafirishwa', 'haraka', 'na', 'kwa', 'bei', 'ya', 'chini', 'zaidi', 'kuliko', 'washindani']","['wauzaji', 'wa', 'vitabu', 'walisafirishwa', 'haraka', 'na', 'kwa', 'bei', 'ya', 'chini', 'zaidi', 'kuliko', 'washindani']"
910,picha nzuri ya samsung,positive,"['picha', 'nzuri', 'ya', 'samsung']","['picha', 'nzuri', 'ya', 'samsung']"
911,kwa hiyo nilinunua karibu 10 kati ya hizi na kuweka pesa akibani,positive,"['kwa', 'hiyo', 'nilinunua', 'karibu', 'kati', 'ya', 'hizi', 'na', 'kuweka', 'pesa', 'akibani']","['kwa', 'hiyo', 'nilinunua', 'karibu', 'kati', 'ya', 'hizi', 'na', 'kuweka', 'pesa', 'akibani']"
912,Sikuzote hiyo hukatika na kutoa sauti ya chip beep beep kisha husema ishara haikufaulu,negative,"['sikuzote', 'hiyo', 'hukatika', 'na', 'kutoa', 'sauti', 'ya', 'chip', 'beep', 'beep', 'kisha', 'husema', 'ishara', 'haikufaulu']","['sikuzote', 'hiyo', 'hukatika', 'na', 'kutoa', 'sauti', 'ya', 'chip', 'beep', 'beep', 'kisha', 'husema', 'ishara', 'haikufaulu']"
913,mwenye mamlaka nyingi huona hilo kuwa jambo la busara,negative,"['mwenye', 'mamlaka', 'nyingi', 'huona', 'hilo', 'kuwa', 'jambo', 'la', 'busara']","['mwenye', 'mamlaka', 'nyingi', 'huona', 'hilo', 'kuwa', 'jambo', 'la', 'busara']"
914,Simu yangu haikusikika kuwa kubwa ok lakini simu yangu ya mke wangu ilikuwa ni kama haieleweki kabisa kwamba angeweza kuelewa neno linalosemwa kwenye simu hiyo,negative,"['simu', 'yangu', 'haikusikika', 'kuwa', 'kubwa', 'ok', 'lakini', 'simu', 'yangu', 'ya', 'mke', 'wangu', 'ilikuwa', 'ni', 'kama', 'haieleweki', 'kabisa', 'kwamba', 'angeweza', 'kuelewa', 'neno', 'linalosemwa', 'kwenye', 'simu', 'hiyo']","['simu', 'yangu', 'haikusikika', 'kuwa', 'kubwa', 'ok', 'lakini', 'simu', 'yangu', 'ya', 'mke', 'wangu', 'ilikuwa', 'ni', 'kama', 'haieleweki', 'kabisa', 'kwamba', 'angeweza', 'kuelewa', 'neno', 'linalosemwa', 'kwenye', 'simu', 'hiyo']"
915,so nililazimika kuondoa betri kutoka kwenye simu kisha kuiunganisha tena na kuirekebisha,negative,"['so', 'nililazimika', 'kuondoa', 'betri', 'kutoka', 'kwenye', 'simu', 'kisha', 'kuiunganisha', 'tena', 'na', 'kuirekebisha']","['so', 'nililazimika', 'kuondoa', 'betri', 'kutoka', 'kwenye', 'simu', 'kisha', 'kuiunganisha', 'tena', 'na', 'kuirekebisha']"
916,Nikiwa na uwezo wa kukunja jani na kulirudisha nyuma mahali ambapo metali hiyo sasa ina mkazo wa kutosha kwamba itavunjika tone linalofuata,negative,"['nikiwa', 'na', 'uwezo', 'wa', 'kukunja', 'jani', 'na', 'kulirudisha', 'nyuma', 'mahali', 'ambapo', 'metali', 'hiyo', 'sasa', 'ina', 'mkazo', 'wa', 'kutosha', 'kwamba', 'itavunjika', 'tone', 'linalofuata']","['nikiwa', 'na', 'uwezo', 'wa', 'kukunja', 'jani', 'na', 'kulirudisha', 'nyuma', 'mahali', 'ambapo', 'metali', 'hiyo', 'sasa', 'ina', 'mkazo', 'wa', 'kutosha', 'kwamba', 'itavunjika', 'tone', 'linalofuata']"
917,Chui ni wa mwituni sana,positive,"['chui', 'ni', 'wa', 'mwituni', 'sana']","['chui', 'ni', 'wa', 'mwituni', 'sana']"
918,hunifanyia kazi,positive,"['hunifanyia', 'kazi']","['hunifanyia', 'kazi']"
919,Kipande cha takataka chenye madoa - doa,negative,"['kipande', 'cha', 'takataka', 'chenye', 'madoa', 'doa']","['kipande', 'cha', 'takataka', 'chenye', 'madoa', 'doa']"
920,iliyo bora kuliko vile vibweta vigumu vya plastiki,positive,"['iliyo', 'bora', 'kuliko', 'vile', 'vibweta', 'vigumu', 'vya', 'plastiki']","['iliyo', 'bora', 'kuliko', 'vile', 'vibweta', 'vigumu', 'vya', 'plastiki']"
921,kilikuwa pia na tatizo jipya,negative,"['kilikuwa', 'pia', 'na', 'tatizo', 'jipya']","['kilikuwa', 'pia', 'na', 'tatizo', 'jipya']"
922,mwenye furaha kufikia sasa,positive,"['mwenye', 'furaha', 'kufikia', 'sasa']","['mwenye', 'furaha', 'kufikia', 'sasa']"
923,Simu baridi,positive,"['simu', 'baridi']","['simu', 'baridi']"
924,hutenda mema,positive,"['hutenda', 'mema']","['hutenda', 'mema']"
925,Hatimaye bula alipata ubora wa kichwa cha rangi ya buluu kilichowekwa kulia,positive,"['hatimaye', 'bula', 'alipata', 'ubora', 'wa', 'kichwa', 'cha', 'rangi', 'ya', 'buluu', 'kilichowekwa', 'kulia']","['hatimaye', 'bula', 'alipata', 'ubora', 'wa', 'kichwa', 'cha', 'rangi', 'ya', 'buluu', 'kilichowekwa', 'kulia']"
926,simu hiyo inaunganishwa na simu hata ikiwa iko umbali wa meta moja na nusu kati ya simu hizo mbili,negative,"['simu', 'hiyo', 'inaunganishwa', 'na', 'simu', 'hata', 'ikiwa', 'iko', 'umbali', 'wa', 'meta', 'moja', 'na', 'nusu', 'kati', 'ya', 'simu', 'hizo', 'mbili']","['simu', 'hiyo', 'inaunganishwa', 'na', 'simu', 'hata', 'ikiwa', 'iko', 'umbali', 'wa', 'meta', 'moja', 'na', 'nusu', 'kati', 'ya', 'simu', 'hizo', 'mbili']"
927,lakini kwa kweli ni vizuri kuipendekeza,positive,"['lakini', 'kwa', 'kweli', 'ni', 'vizuri', 'kuipendekeza']","['lakini', 'kwa', 'kweli', 'ni', 'vizuri', 'kuipendekeza']"
928,"Na ninapo maliza sijitoma,",negative,"['na', 'ninapo', 'maliza', 'sijitoma']","['na', 'ninapo', 'maliza', 'sijitoma']"
929,Kama nilivyo sema juu ya nafsi isiyo na faida.,negative,"['kama', 'nilivyo', 'sema', 'juu', 'ya', 'nafsi', 'isiyo', 'na', 'faida']","['kama', 'nilivyo', 'sema', 'juu', 'ya', 'nafsi', 'isiyo', 'na', 'faida']"
930,haikupata kamwe,negative,"['haikupata', 'kamwe']","['haikupata', 'kamwe']"
931,Hizi ndizo hedifoni mbaya zaidi ambazo nimepata kuwa na hekima ya kutosha,negative,"['hizi', 'ndizo', 'hedifoni', 'mbaya', 'zaidi', 'ambazo', 'nimepata', 'kuwa', 'na', 'hekima', 'ya', 'kutosha']","['hizi', 'ndizo', 'hedifoni', 'mbaya', 'zaidi', 'ambazo', 'nimepata', 'kuwa', 'na', 'hekima', 'ya', 'kutosha']"
932,kuingia ndani ya maji kwa sababu ya kuvunjika moyo kidogo,negative,"['kuingia', 'ndani', 'ya', 'maji', 'kwa', 'sababu', 'ya', 'kuvunjika', 'moyo', 'kidogo']","['kuingia', 'ndani', 'ya', 'maji', 'kwa', 'sababu', 'ya', 'kuvunjika', 'moyo', 'kidogo']"
933,halipendekezi simu ya mkononi ya saa 8525,negative,"['halipendekezi', 'simu', 'ya', 'mkononi', 'ya', 'saa']","['halipendekezi', 'simu', 'ya', 'mkononi', 'ya', 'yangu']"
934,unapata dakika za ziada ili uweze kumaliza mlio huo na usikate kamba,positive,"['unapata', 'dakika', 'za', 'ziada', 'ili', 'uweze', 'kumaliza', 'mlio', 'huo', 'na', 'usikate', 'kamba']","['unapata', 'dakika', 'za', 'ziada', 'ili', 'uweze', 'kumaliza', 'mlio', 'huo', 'na', 'usikate', 'kamba']"
935,Hata hivyo baada ya karibu mwaka mmoja sehemu ya juu ilianza kulegea na kuyumba - yumba na hatimaye kiwambo changu kilienda nyeusi na ningeweza kupokea na kupiga simu za mahali,negative,"['hata', 'hivyo', 'baada', 'ya', 'karibu', 'mwaka', 'mmoja', 'sehemu', 'ya', 'juu', 'ilianza', 'kulegea', 'na', 'kuyumba', 'yumba', 'na', 'hatimaye', 'kiwambo', 'changu', 'kilienda', 'nyeusi', 'na', 'ningeweza', 'kupokea', 'na', 'kupiga', 'simu', 'za', 'mahali']","['hata', 'hivyo', 'baada', 'ya', 'karibu', 'mwaka', 'mmoja', 'sehemu', 'ya', 'juu', 'ilianza', 'kulegea', 'na', 'kuyumba', 'yumba', 'na', 'hatimaye', 'kiwambo', 'changu', 'kilienda', 'nyeusi', 'na', 'ningeweza', 'kupokea', 'na', 'kupiga', 'simu', 'za', 'mahali']"
936,Imeendelea kushika kebo kwenye kiti na ilinibidi nivute simu ili kuizima juu ya ubao,negative,"['imeendelea', 'kushika', 'kebo', 'kwenye', 'kiti', 'na', 'ilinibidi', 'nivute', 'simu', 'ili', 'kuizima', 'juu', 'ya', 'ubao']","['imeendelea', 'kushika', 'kebo', 'kwenye', 'kiti', 'na', 'ilinibidi', 'nivute', 'simu', 'ili', 'kuizima', 'juu', 'ya', 'ubao']"
937,kichwa kinatimiza matakwa yangu ili nifurahie kununua,positive,"['kichwa', 'kinatimiza', 'matakwa', 'yangu', 'ili', 'nifurahie', 'kununua']","['kichwa', 'kinatimiza', 'matakwa', 'yangu', 'ili', 'nifurahie', 'kununua']"
938,Sehemu ya juu ya kichwa cha rangi ya bluu ni 10,positive,"['sehemu', 'ya', 'juu', 'ya', 'kichwa', 'cha', 'rangi', 'ya', 'bluu', 'ni']","['sehemu', 'ya', 'juu', 'ya', 'kichwa', 'cha', 'rangi', 'ya', 'bluu', 'ni']"
939,Ni kama kwamba hilo si jambo la kijuujuu tu juu ya sikio lako badala ya ndani,positive,"['ni', 'kama', 'kwamba', 'hilo', 'si', 'jambo', 'la', 'kijuujuu', 'tu', 'juu', 'ya', 'sikio', 'lako', 'badala', 'ya', 'ndani']","['ni', 'kama', 'kwamba', 'hilo', 'si', 'jambo', 'la', 'kijuujuu', 'tu', 'juu', 'ya', 'sikio', 'lako', 'badala', 'ya', 'ndani']"
940,tovuti nyingi zimekuwa zikiainisha hii kuwa simu nzuri sana na ndivyo ilivyo na i,positive,"['tovuti', 'nyingi', 'zimekuwa', 'zikiainisha', 'hii', 'kuwa', 'simu', 'nzuri', 'sana', 'na', 'ndivyo', 'ilivyo', 'na', 'i']","['tovuti', 'nyingi', 'zimekuwa', 'zikiainisha', 'hii', 'kuwa', 'simu', 'nzuri', 'sana', 'na', 'ndivyo', 'ilivyo', 'na', 'i']"
941,Imejaribu kebo hizi kwa kompyuta yangu na kifaa changu cha kuchezea na ni nzuri sana,positive,"['imejaribu', 'kebo', 'hizi', 'kwa', 'kompyuta', 'yangu', 'na', 'kifaa', 'changu', 'cha', 'kuchezea', 'na', 'ni', 'nzuri', 'sana']","['imejaribu', 'kebo', 'hizi', 'kwa', 'kompyuta', 'yangu', 'na', 'kifaa', 'changu', 'cha', 'kuchezea', 'na', 'ni', 'nzuri', 'sana']"
942,si mzaha na sauti ni ya chini sana,negative,"['si', 'mzaha', 'na', 'sauti', 'ni', 'ya', 'chini', 'sana']","['si', 'mzaha', 'na', 'sauti', 'ni', 'ya', 'chini', 'sana']"
943,Wakifurushwa.,negative,['wakifurushwa'],['wakifurushwa']
944,Siwezi kudumisha uhusiano na kompyuta wakati inapokuwa pajani mwangu,negative,"['siwezi', 'kudumisha', 'uhusiano', 'na', 'kompyuta', 'wakati', 'inapokuwa', 'pajani', 'mwangu']","['siwezi', 'kudumisha', 'uhusiano', 'na', 'kompyuta', 'wakati', 'inapokuwa', 'pajani', 'mwangu']"
945,Ni rahisi kugeuka na kushuka unapokuwa ndani ya gari na kuna vifaa vingi vya kudhibiti sauti,positive,"['ni', 'rahisi', 'kugeuka', 'na', 'kushuka', 'unapokuwa', 'ndani', 'ya', 'gari', 'na', 'kuna', 'vifaa', 'vingi', 'vya', 'kudhibiti', 'sauti']","['ni', 'rahisi', 'kugeuka', 'na', 'kushuka', 'unapokuwa', 'ndani', 'ya', 'gari', 'na', 'kuna', 'vifaa', 'vingi', 'vya', 'kudhibiti', 'sauti']"
946,Nimekuwa na mgodi kwa karibu mwaka mmoja na kristmas i hii ilinunua kadhaa kwa ajili ya wengine wa familia,positive,"['nimekuwa', 'na', 'mgodi', 'kwa', 'karibu', 'mwaka', 'mmoja', 'na', 'kristmas', 'i', 'hii', 'ilinunua', 'kadhaa', 'kwa', 'ajili', 'ya', 'wengine', 'wa', 'familia']","['nimekuwa', 'na', 'mgodi', 'kwa', 'karibu', 'mwaka', 'mmoja', 'na', 'kristmas', 'i', 'hii', 'ilinunua', 'kadhaa', 'kwa', 'ajili', 'ya', 'wengine', 'wa', 'familia']"
947,Ni rahisi zaidi kuweka na kutumia sauti iliyo wazi,positive,"['ni', 'rahisi', 'zaidi', 'kuweka', 'na', 'kutumia', 'sauti', 'iliyo', 'wazi']","['ni', 'rahisi', 'zaidi', 'kuweka', 'na', 'kutumia', 'sauti', 'iliyo', 'wazi']"
948,Ngozi nzuri,positive,"['ngozi', 'nzuri']","['ngozi', 'nzuri']"
949,Ilinibidi ninunue kisanduku tofauti,negative,"['ilinibidi', 'ninunue', 'kisanduku', 'tofauti']","['ilinibidi', 'ninunue', 'kisanduku', 'tofauti']"
950,Ni shangwe kutumia,positive,"['ni', 'shangwe', 'kutumia']","['ni', 'shangwe', 'kutumia']"
951,kampuni hiyo imekatishwa tamaa sana,negative,"['kampuni', 'hiyo', 'imekatishwa', 'tamaa', 'sana']","['kampuni', 'hiyo', 'imekatishwa', 'tamaa', 'sana']"
952,Zikapangwa vizuri pamoja na hilo,positive,"['zikapangwa', 'vizuri', 'pamoja', 'na', 'hilo']","['zikapangwa', 'vizuri', 'pamoja', 'na', 'hilo']"
953,Haikunilipia,negative,['haikunilipia'],['haikunilipia']
954,hii ni simu ya kufikia mwaka 2005 ili tu ninunue s710a yangu na yote ninayoweza kusema ni machache sana,positive,"['hii', 'ni', 'simu', 'ya', 'kufikia', 'mwaka', 'ili', 'tu', 'ninunue', 's', 'a', 'yangu', 'na', 'yote', 'ninayoweza', 'kusema', 'ni', 'machache', 'sana']","['hii', 'ni', 'simu', 'ya', 'kufikia', 'mwaka', 'ili', 'tu', 'ninunue', 's', 'a', 'yangu', 'na', 'yote', 'ninayoweza', 'kusema', 'ni', 'machache', 'sana']"
955,Vibonyezo ni vidogo mno,negative,"['vibonyezo', 'ni', 'vidogo', 'mno']","['vibonyezo', 'ni', 'vidogo', 'mno']"
956,Kusoma tu juu ya specs peke yake kunakufanya useme wiw,positive,"['kusoma', 'tu', 'juu', 'ya', 'specs', 'peke', 'yake', 'kunakufanya', 'useme', 'wiw']","['kusoma', 'tu', 'juu', 'ya', 'specs', 'peke', 'yake', 'kunakufanya', 'useme', 'lakini']"
957,Ipende mnong'engemeo la mkono,positive,"['ipende', 'mnong', 'engemeo', 'la', 'mkono']","['ipende', 'mnong', 'engemeo', 'la', 'mkono']"
958,Mimi hupenda sana bidhaa hii iliyo juu ya motala kwa sababu hiyo huonekana wazi zaidi kwenye kisiki cha sikio na mic,positive,"['mimi', 'hupenda', 'sana', 'bidhaa', 'hii', 'iliyo', 'juu', 'ya', 'motala', 'kwa', 'sababu', 'hiyo', 'huonekana', 'wazi', 'zaidi', 'kwenye', 'kisiki', 'cha', 'sikio', 'na', 'mic']","['mimi', 'hupenda', 'sana', 'bidhaa', 'hii', 'iliyo', 'juu', 'ya', 'motala', 'kwa', 'sababu', 'hiyo', 'huonekana', 'wazi', 'zaidi', 'kwenye', 'kisiki', 'cha', 'sikio', 'na', 'mic']"
959,hata vibonyezo viweje sana hivi kwamba nyakati nyingine mimi hufikia vifungo visivyofaa,negative,"['hata', 'vibonyezo', 'viweje', 'sana', 'hivi', 'kwamba', 'nyakati', 'nyingine', 'mimi', 'hufikia', 'vifungo', 'visivyofaa']","['hata', 'vibonyezo', 'viweje', 'sana', 'hivi', 'kwamba', 'nyakati', 'nyingine', 'mimi', 'hufikia', 'vifungo', 'visivyofaa']"
960,"Ninabadilisha ericson z,500a kwa ajili ya hili na kufurahia sana uamuzi huo",positive,"['ninabadilisha', 'ericson', 'z', 'a', 'kwa', 'ajili', 'ya', 'hili', 'na', 'kufurahia', 'sana', 'uamuzi', 'huo']","['ninabadilisha', 'ericson', 'z', 'a', 'kwa', 'ajili', 'ya', 'hili', 'na', 'kufurahia', 'sana', 'uamuzi', 'huo']"
961,Nilivutiwa sana na bei ya kesi hizo,positive,"['nilivutiwa', 'sana', 'na', 'bei', 'ya', 'kesi', 'hizo']","['nilivutiwa', 'sana', 'na', 'bei', 'ya', 'kesi', 'hizo']"
962,Pia hufanya iwe rahisi kushikilia,positive,"['pia', 'hufanya', 'iwe', 'rahisi', 'kushikilia']","['pia', 'hufanya', 'iwe', 'rahisi', 'kushikilia']"
963,Mimi hutumia bidhaa hii katika kituo cha kudhibiti mota ambapo kuna nguvu nyingi za umeme zinazovuma kutoka kwa vifaa hivyo na hufanya kazi nyingi sana,positive,"['mimi', 'hutumia', 'bidhaa', 'hii', 'katika', 'kituo', 'cha', 'kudhibiti', 'mota', 'ambapo', 'kuna', 'nguvu', 'nyingi', 'za', 'umeme', 'zinazovuma', 'kutoka', 'kwa', 'vifaa', 'hivyo', 'na', 'hufanya', 'kazi', 'nyingi', 'sana']","['mimi', 'hutumia', 'bidhaa', 'hii', 'katika', 'kituo', 'cha', 'kudhibiti', 'mota', 'ambapo', 'kuna', 'nguvu', 'nyingi', 'za', 'umeme', 'zinazovuma', 'kutoka', 'kwa', 'vifaa', 'hivyo', 'na', 'hufanya', 'kazi', 'nyingi', 'sana']"
964,Ni rahisi kwake kufanya hivyo,positive,"['ni', 'rahisi', 'kwake', 'kufanya', 'hivyo']","['ni', 'rahisi', 'kwake', 'kufanya', 'hivyo']"
965,Siwezi kufanya ziara mahali fulani - fulani,negative,"['siwezi', 'kufanya', 'ziara', 'mahali', 'fulani', 'fulani']","['siwezi', 'kufanya', 'ziara', 'mahali', 'fulani', 'fulani']"
966,Hata hivyo msichana wangu alilalamika kwamba wakati fulani simu haiamshani kama simu ya kawaida,negative,"['hata', 'hivyo', 'msichana', 'wangu', 'alilalamika', 'kwamba', 'wakati', 'fulani', 'simu', 'haiamshani', 'kama', 'simu', 'ya', 'kawaida']","['hata', 'hivyo', 'msichana', 'wangu', 'alilalamika', 'kwamba', 'wakati', 'fulani', 'simu', 'haiamshani', 'kama', 'simu', 'ya', 'kawaida']"
967,"Hata hivyo, kwezi maridadi",positive,"['hata', 'hivyo', 'kwezi', 'maridadi']","['hata', 'hivyo', 'kwezi', 'maridadi']"
968,Kampuni hii inanitoza malipo ya ziada na bado haijanipa mgongo wangu,negative,"['kampuni', 'hii', 'inanitoza', 'malipo', 'ya', 'ziada', 'na', 'bado', 'haijanipa', 'mgongo', 'wangu']","['kampuni', 'hii', 'inanitoza', 'malipo', 'ya', 'ziada', 'na', 'bado', 'haijanipa', 'mgongo', 'wangu']"
969,"Na akakusanya mali, kisha akayahifadhi.",negative,"['na', 'akakusanya', 'mali', 'kisha', 'akayahifadhi']","['na', 'akakusanya', 'mali', 'kisha', 'akayahifadhi']"
970,Imeiunganisha ndani tu ili kujua si kitu kilichotengenezwa viwandani,negative,"['imeiunganisha', 'ndani', 'tu', 'ili', 'kujua', 'si', 'kitu', 'kilichotengenezwa', 'viwandani']","['imeiunganisha', 'ndani', 'tu', 'ili', 'kujua', 'si', 'kitu', 'kilichotengenezwa', 'viwandani']"
971,Bidhaa bora kabisa,positive,"['bidhaa', 'bora', 'kabisa']","['bidhaa', 'bora', 'kabisa']"
972,Kipande cha sikio chavunjika kwa urahisi,negative,"['kipande', 'cha', 'sikio', 'chavunjika', 'kwa', 'urahisi']","['kipande', 'cha', 'sikio', 'chavunjika', 'kwa', 'urahisi']"
973,Bidhaa ya lousy,negative,"['bidhaa', 'ya', 'lousy']","['bidhaa', 'ya', 'lousy']"
974,simu hii inajaribu sana kufanya kila kitu lakini inashindwa kwa uwezo wake wa kuwa simu,negative,"['simu', 'hii', 'inajaribu', 'sana', 'kufanya', 'kila', 'kitu', 'lakini', 'inashindwa', 'kwa', 'uwezo', 'wake', 'wa', 'kuwa', 'simu']","['simu', 'hii', 'inajaribu', 'sana', 'kufanya', 'kila', 'kitu', 'lakini', 'inashindwa', 'kwa', 'uwezo', 'wake', 'wa', 'kuwa', 'simu']"
975,Huyu ndiye msimamizi bora kuliko wote ambaye hajawahi kuonekana sokoni,positive,"['huyu', 'ndiye', 'msimamizi', 'bora', 'kuliko', 'wote', 'ambaye', 'hajawahi', 'kuonekana', 'sokoni']","['huyu', 'ndiye', 'msimamizi', 'bora', 'kuliko', 'wote', 'ambaye', 'hajawahi', 'kuonekana', 'sokoni']"
976,Simu tamu zaidi,positive,"['simu', 'tamu', 'zaidi']","['simu', 'tamu', 'zaidi']"
977,Msimamizi huonekana akifanya kazi vizuri,positive,"['msimamizi', 'huonekana', 'akifanya', 'kazi', 'vizuri']","['msimamizi', 'huonekana', 'akifanya', 'kazi', 'vizuri']"
978,Linapatana kabisa hivi kwamba ndoano ya sikio haihitaji kutumiwa na sauti hiyo huelekezwa vizuri zaidi kupitia kijia cha sikio,positive,"['linapatana', 'kabisa', 'hivi', 'kwamba', 'ndoano', 'ya', 'sikio', 'haihitaji', 'kutumiwa', 'na', 'sauti', 'hiyo', 'huelekezwa', 'vizuri', 'zaidi', 'kupitia', 'kijia', 'cha', 'sikio']","['linapatana', 'kabisa', 'hivi', 'kwamba', 'ndoano', 'ya', 'sikio', 'haihitaji', 'kutumiwa', 'na', 'sauti', 'hiyo', 'huelekezwa', 'vizuri', 'zaidi', 'kupitia', 'kijia', 'cha', 'sikio']"
979,si buku la kutosha,negative,"['si', 'buku', 'la', 'kutosha']","['si', 'buku', 'la', 'kutosha']"
980,si jambo la maana hata kidogo kufanya hivyo,negative,"['si', 'jambo', 'la', 'maana', 'hata', 'kidogo', 'kufanya', 'hivyo']","['si', 'jambo', 'la', 'maana', 'hata', 'kidogo', 'kufanya', 'hivyo']"
981,ungeweza tu kuchukua vidio 2 kwa wakati mmoja na ubora ulikuwa mdogo sana,negative,"['ungeweza', 'tu', 'kuchukua', 'vidio', 'kwa', 'wakati', 'mmoja', 'na', 'ubora', 'ulikuwa', 'mdogo', 'sana']","['ungeweza', 'tu', 'kuchukua', 'vidio', 'kwa', 'wakati', 'mmoja', 'na', 'ubora', 'ulikuwa', 'mdogo', 'sana']"
982,Usipoteze pesa zako,negative,"['usipoteze', 'pesa', 'zako']","['usipoteze', 'pesa', 'zako']"
983,Ni lazima niwe wa kwanza kupitia matokeo haya kwa njia hasi,negative,"['ni', 'lazima', 'niwe', 'wa', 'kwanza', 'kupitia', 'matokeo', 'haya', 'kwa', 'njia', 'hasi']","['ni', 'lazima', 'niwe', 'wa', 'kwanza', 'kupitia', 'matokeo', 'haya', 'kwa', 'njia', 'hasi']"
984,Mfumo hauandai mawimbi ya kutosha,negative,"['mfumo', 'hauandai', 'mawimbi', 'ya', 'kutosha']","['mfumo', 'hauandai', 'mawimbi', 'ya', 'kutosha']"
985,Simu hii ilikuwa na ujumbe mwingi sana hivi kwamba nilifikiri ndiyo iliyokuwa kosa langu bora zaidi,negative,"['simu', 'hii', 'ilikuwa', 'na', 'ujumbe', 'mwingi', 'sana', 'hivi', 'kwamba', 'nilifikiri', 'ndiyo', 'iliyokuwa', 'kosa', 'langu', 'bora', 'zaidi']","['simu', 'hii', 'ilikuwa', 'na', 'ujumbe', 'mwingi', 'sana', 'hivi', 'kwamba', 'nilifikiri', 'ndiyo', 'iliyokuwa', 'kosa', 'langu', 'bora', 'zaidi']"
986,Pia huwezi kupiga picha kwenye kisanduku hicho kwa sababu lenzi imefunikwa,negative,"['pia', 'huwezi', 'kupiga', 'picha', 'kwenye', 'kisanduku', 'hicho', 'kwa', 'sababu', 'lenzi', 'imefunikwa']","['pia', 'huwezi', 'kupiga', 'picha', 'kwenye', 'kisanduku', 'hicho', 'kwa', 'sababu', 'lenzi', 'imefunikwa']"
987,simu zinaanguka kwa urahisi,negative,"['simu', 'zinaanguka', 'kwa', 'urahisi']","['simu', 'zinaanguka', 'kwa', 'urahisi']"
988,haikufanya kazi watu hawawezi kunisikia ninapoongea,negative,"['haikufanya', 'kazi', 'watu', 'hawawezi', 'kunisikia', 'ninapoongea']","['haikufanya', 'kazi', 'watu', 'hawawezi', 'kunisikia', 'ninapoongea']"
989,kwa kweli ni vigumu kutumia ujumbe unaotumwa kupitia simu,negative,"['kwa', 'kweli', 'ni', 'vigumu', 'kutumia', 'ujumbe', 'unaotumwa', 'kupitia', 'simu']","['kwa', 'kweli', 'ni', 'vigumu', 'kutumia', 'ujumbe', 'unaotumwa', 'kupitia', 'simu']"
990,kwa kweli nimewakatisha tamaa wote nilio nao sasa ni wakili asiyefanya kazi,negative,"['kwa', 'kweli', 'nimewakatisha', 'tamaa', 'wote', 'nilio', 'nao', 'sasa', 'ni', 'wakili', 'asiyefanya', 'kazi']","['kwa', 'kweli', 'nimewakatisha', 'tamaa', 'wote', 'nilio', 'nao', 'sasa', 'ni', 'wakili', 'asiyefanya', 'kazi']"
991,Yenye maumivu sikioni,negative,"['yenye', 'maumivu', 'sikioni']","['yenye', 'maumivu', 'sikioni']"
992,"ikachukua siku moja, kisha ikamalizika",negative,"['ikachukua', 'siku', 'moja', 'kisha', 'ikamalizika']","['ikachukua', 'siku', 'moja', 'kisha', 'ikamalizika']"
993,Alivunjika moyo,negative,"['alivunjika', 'moyo']","['alivunjika', 'moyo']"
994,aina ya viambato kuzunguka,negative,"['aina', 'ya', 'viambato', 'kuzunguka']","['aina', 'ya', 'viambato', 'kuzunguka']"
995,kiwambo huzuiwa kwa urahisi kwa sababu hugusa sikio na uso wako,negative,"['kiwambo', 'huzuiwa', 'kwa', 'urahisi', 'kwa', 'sababu', 'hugusa', 'sikio', 'na', 'uso', 'wako']","['kiwambo', 'huzuiwa', 'kwa', 'urahisi', 'kwa', 'sababu', 'hugusa', 'sikio', 'na', 'uso', 'wako']"
996,kiasi cha pesa ambacho mimi hupoteza kwenye simu hii,negative,"['kiasi', 'cha', 'pesa', 'ambacho', 'mimi', 'hupoteza', 'kwenye', 'simu', 'hii']","['kiasi', 'cha', 'pesa', 'ambacho', 'mimi', 'hupoteza', 'kwenye', 'simu', 'hii']"
